hsa-mir-15a-5p,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-16-5p,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-143-5p,colon neoplasms
hsa-mir-145-5p,colon neoplasms
hsa-mir-223-5p,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-29a-5p,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-29c-5p,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-10b-5p,breast neoplasms
hsa-mir-125b-1-3p,breast neoplasms
hsa-mir-125b-2-3p,breast neoplasms
hsa-mir-145-5p,breast neoplasms
hsa-mir-10a-5p,leukemia
hsa-mir-10b-5p,leukemia
hsa-mir-126-5p,leukemia
hsa-mir-17-5p,leukemia
hsa-let-7a-2-3p,lung neoplasms
hsa-let-7b-5p,lung neoplasms
hsa-let-7c-5p,lung neoplasms
hsa-let-7d-5p,lung neoplasms
hsa-let-7e-5p,lung neoplasms
hsa-let-7f-1-3p,lung neoplasms
hsa-let-7f-2-3p,lung neoplasms
hsa-let-7g-5p,lung neoplasms
hsa-let-7i-5p,lung neoplasms
hsa-mir-143-5p,colorectal carcinoma
hsa-mir-145-5p,colorectal carcinoma
hsa-mir-181a-2-3p,"leukemia, promyelocytic, acute"
hsa-mir-181b-2-3p,"leukemia, promyelocytic, acute"
hsa-mir-181d-5p,"leukemia, promyelocytic, acute"
hsa-mir-155-5p,neoplasms [unspecific]
hsa-mir-15a-5p,pituitary neoplasms
hsa-mir-15b-5p,pituitary neoplasms
hsa-mir-16-1-3p,pituitary neoplasms
hsa-mir-16-2-3p,pituitary neoplasms
hsa-let-7e-5p,"carcinoma, hepatocellular"
hsa-mir-125a-5p,"carcinoma, hepatocellular"
hsa-mir-99b-5p,"carcinoma, hepatocellular"
hsa-mir-127-5p,thyroid neoplasms
hsa-mir-130a-5p,thyroid neoplasms
hsa-mir-144-5p,thyroid neoplasms
hsa-mir-17-5p,breast neoplasms
hsa-mir-148a-5p,asthma
hsa-mir-148b-5p,asthma
hsa-mir-152-5p,asthma
hsa-mir-143-5p,"lymphoma, b-cell"
hsa-mir-143-5p,breast neoplasms
hsa-mir-150-5p,polycythemia vera
hsa-mir-155-5p,polycythemia vera
hsa-mir-221-5p,polycythemia vera
hsa-let-7b-5p,"leukemia, myeloid, acute"
hsa-mir-223-5p,"leukemia, lymphoblastic"
hsa-mir-128-1-5p,"lymphoma, hodgkin"
hsa-mir-128-2-5p,"lymphoma, hodgkin"
hsa-mir-96-5p,"lymphoma, hodgkin"
hsa-mir-16-1-3p,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-29c-5p,nasopharyngeal neoplasms
hsa-let-7a-5p,polycythemia vera
hsa-mir-30b-5p,polycythemia vera
hsa-mir-30c-5p,polycythemia vera
hsa-mir-222-5p,breast neoplasms
hsa-let-7e-5p,ovarian neoplasms
hsa-mir-182-5p,retinal degeneration
hsa-mir-183-5p,retinal degeneration
hsa-mir-96-5p,retinal degeneration
hsa-mir-141-5p,"carcinoma, renal cell"
hsa-mir-200c-5p,"carcinoma, renal cell"
hsa-mir-125b-1-3p,myelodysplastic syndromes
hsa-mir-17-5p,"lymphoma, b-cell"
hsa-mir-18a-5p,"lymphoma, b-cell"
hsa-mir-19a-5p,"lymphoma, b-cell"
hsa-mir-19b-1-5p,"lymphoma, b-cell"
hsa-mir-19b-2-5p,"lymphoma, b-cell"
hsa-mir-20a-5p,"lymphoma, b-cell"
hsa-mir-92a-1-5p,"lymphoma, b-cell"
hsa-mir-92a-2-5p,"lymphoma, b-cell"
hsa-mir-127-5p,"carcinoma, hepatocellular"
hsa-mir-200b-5p,"carcinoma, hepatocellular"
hsa-mir-34a-5p,"carcinoma, hepatocellular"
hsa-mir-337-5p,neurodegenerative diseases [unspecific]
hsa-mir-338-5p,neurodegenerative diseases [unspecific]
hsa-mir-150-5p,lupus vulgaris
hsa-mir-210-5p,lupus vulgaris
hsa-mir-223-5p,lupus vulgaris
hsa-mir-296-5p,lupus vulgaris
hsa-mir-30d-5p,lupus vulgaris
hsa-mir-324-5p,lupus vulgaris
hsa-mir-346,lupus vulgaris
hsa-mir-365a-5p,lupus vulgaris
hsa-mir-365b-5p,lupus vulgaris
